date,rstar_acm,rn_fwd_9y1y,tp_fwd_9y1y,ACMY10,ACMRNY10,ACMTP10
2011-01-03,0.5034125498978863,2.5034125498978863,3.228478948898406,3.603703486965386,1.3830625258251021,2.220640961140284
2011-01-04,0.4909652433379197,2.4909652433379197,3.2720839727587965,3.604485959138955,1.3613009970123895,2.2431849621265654
2011-01-05,0.5186245420516666,2.5186245420516666,3.4024065566000274,3.751005396709719,1.3941241821782413,2.3568812145314775
2011-01-06,0.5100895104484131,2.510089510448413,3.3332108877905284,3.6828418240683347,1.387933091301106,2.2949087327672286
2011-01-07,0.4600042687248358,2.460004268724836,3.3623879027923387,3.5958918564781177,1.31542109265256,2.2804707638255577
2011-01-10,0.44861669333200105,2.448616693332001,3.352241903448732,3.5649834757893397,1.2988029785174176,2.266180497271922
2011-01-11,0.45584328714544675,2.4558432871454468,3.4085521108460455,3.621247626718016,1.3057988059331742,2.315448820784842
2011-01-12,0.4532117238237596,2.4532117238237596,3.424039309016994,3.6251805574572575,1.3011267894381777,2.3240537680190796
2011-01-13,0.4261752595209174,2.4261752595209174,3.446427479690076,3.578790567891803,1.2610263952914758,2.3177641726003273
2011-01-14,0.43118863215862646,2.4311886321586265,3.464429154813935,3.601734100862822,1.2692029525479132,2.332531148314909
2011-01-18,0.4328986708820608,2.432898670882061,3.508138572864837,3.638372877450491,1.2693773584302848,2.3689955190202063
2011-01-19,0.4291014839539873,2.4291014839539873,3.488901558165974,3.6194004101061843,1.2628255459025006,2.356574864203684
2011-01-20,0.458172262472079,2.458172262472079,3.553702288536723,3.7284153427435864,1.2992776819437106,2.429137660799876
2011-01-21,0.4581817996863098,2.45818179968631,3.5046939674588806,3.693174313808424,1.302810407097984,2.39036390671044
2011-01-24,0.4568502077462817,2.4568502077462817,3.487028173439686,3.676258785937457,1.3014790794750275,2.3747797064624296
2011-01-25,0.4535994388803726,2.4535994388803726,3.3624516914327707,3.5832066084737813,1.30538840522044,2.277818203253341
2011-01-26,0.44435305533792224,2.4443530553379222,3.5469352967759846,3.693367268573587,1.2798259820681812,2.413541286505406
2011-01-27,0.4281994469001802,2.42819944690018,3.5467998420111115,3.6628181633588475,1.2546351183946907,2.408183044964157
2011-01-28,0.420753237080163,2.420753237080163,3.4660269785787534,3.5891175297133553,1.2509272568074163,2.3381902729059387
2011-01-31,0.4124687535574445,2.4124687535574445,3.591474602491626,3.65713727911588,1.2338465936495846,2.423290685466295
2011-02-01,0.43448567490060697,2.434485674900607,3.61472084768263,3.7197134208408533,1.2630019647275408,2.4567114561133128
2011-02-02,0.48199998691080026,2.4819999869108003,3.508956493462147,3.7461609721876465,1.3377360835473318,2.408424888640315
2011-02-03,0.510055271868822,2.510055271868822,3.507039884986913,3.806589411087596,1.376324605532343,2.430264805555253
2011-02-04,0.5408449965314794,2.5408449965314794,3.545083230550791,3.903099081889967,1.415667726977045,2.487431354912922
2011-02-07,0.5548922756494115,2.5548922756494115,3.5005717518725383,3.9020462828921225,1.4381224800933967,2.4639238027987256
2011-02-08,0.6006448606746648,2.600644860674665,3.461961822606632,3.9710845228897917,1.5060555510412093,2.4650289718485823
2011-02-09,0.596480225647344,2.596480225647344,3.3561794771726454,3.8913066640743397,1.5065183146982413,2.384788349376098
2011-02-10,0.6258739541743576,2.6258739541743576,3.3148921743943056,3.92776553105879,1.5461706474826253,2.3815948835761644
2011-02-11,0.6388055283261238,2.638805528326124,3.1877227354136473,3.863263604900673,1.5716240984744272,2.291639506426246
2011-02-14,0.6460932406931512,2.646093240693151,3.1315333406560697,3.839548211272361,1.5836906076458939,2.2558576036264673
2011-02-15,0.6435752751291268,2.643575275129127,3.1123299755673344,3.8230497158668997,1.5822287610152335,2.2408209548516664
2011-02-16,0.6472464446879158,2.647246444687916,3.1168802310515495,3.833831601569949,1.5860044797241217,2.2478271218458272
2011-02-17,0.6185151756355758,2.618515175635576,3.148723754962667,3.7990990596308953,1.5424966312404413,2.2566024283904538
2011-02-18,0.6097754260314812,2.609775426031481,3.1976071261633585,3.816719222362369,1.526297699891005,2.290421522471364
2011-02-22,0.5663133605797128,2.566313360579713,3.1483342178320193,3.6843063581727042,1.4708143955840185,2.2134919625886855
2011-02-23,0.5857588923370916,2.5857588923370916,3.126824067326247,3.713749938109765,1.4975881054974272,2.216161832612338
2011-02-24,0.5968484684215927,2.5968484684215927,3.036095437610804,3.6756068467016303,1.517820618076342,2.1577862286252882
2011-02-25,0.5891667376894301,2.58916673768943,3.0160503793781466,3.644145938516313,1.5091897884900851,2.1349561500262277
2011-02-28,0.5710104616599718,2.571010461659972,3.065162081729781,3.6422302241493356,1.4803808744865543,2.1618493496627815
2011-03-01,0.5586096662159541,2.558609666215954,3.0936124917204495,3.637456793315564,1.4613567671512977,2.1761000261642662
2011-03-02,0.5670414627366238,2.567041462736624,3.1483860647234607,3.692440651040495,1.4713439089662843,2.2210967420742103
2011-03-03,0.6187822501465092,2.6187822501465092,3.1486880697967905,3.80218677291859,1.5425750253029151,2.2596117476156747
2011-03-04,0.5691567321821527,2.5691567321821527,3.1792056612583117,3.7198014690690093,1.4721066132923193,2.24769485577669
2011-03-07,0.5733379980254227,2.5733379980254227,3.1961000481584456,3.7393439847295906,1.4766907654096522,2.2626532193199385
2011-03-08,0.5682211132645723,2.5682211132645723,3.281278189567235,3.7873282476838064,1.4632483291242109,2.3240799185595957
2011-03-09,0.5512547168423936,2.5512547168423936,3.2260596056162782,3.7103728135678713,1.4420067932070568,2.2683660203608147
2011-03-10,0.5133483823002685,2.5133483823002685,3.200575683254481,3.6100300304559427,1.3880309820538839,2.2219990484020586
2011-03-11,0.5065159204973799,2.50651592049738,3.2721043540617956,3.6455952178866657,1.3752686331512392,2.2703265847354266
2011-03-14,0.4795698285582297,2.4795698285582297,3.2933584468214363,3.6002788848975,1.3379670841691138,2.2623118007283862
2011-03-15,0.49134687990864556,2.4913468799086456,3.2080687469651146,3.562565982967578,1.3585256066358047,2.2040403763317737
2011-03-16,0.45185846182711487,2.451858461827115,3.1735790305588623,3.4498339184685145,1.3058927283300008,2.1439411901385137
2011-03-17,0.4616437919011567,2.4616437919011567,3.1905273650245363,3.4810889848724536,1.3177666552093197,2.163322329663134
2011-03-18,0.49327542007507397,2.493275420075074,3.135727454299179,3.5143992235676547,1.367226753831684,2.1471724697359704
2011-03-21,0.5363886550321748,2.536388655032175,3.0621769972016573,3.5565576348641637,1.432361217615531,2.1241964172486325
2011-03-22,0.5440132655898786,2.5440132655898786,3.0458456395089613,3.563264588955456,1.4410990029757231,2.122165585979733
2011-03-23,0.5427440189642994,2.5427440189642994,3.0788240222049836,3.5845740720167654,1.4375578868742112,2.1470161851425544
2011-03-24,0.5668137585636632,2.5668137585636632,3.1003387372810494,3.652884812030347,1.470953483031982,2.181931328998365
2011-03-25,0.5969833194429466,2.5969833194429466,3.0638760440542185,3.6864521840267925,1.5176598067810843,2.1687923772457083
2011-03-28,0.6197448199670283,2.6197448199670283,2.9976587231967855,3.689650252730291,1.5534232563830546,2.1362269963472365
2011-03-29,0.6225524482665019,2.622552448266502,3.0280282081439687,3.716989929798356,1.5549574361261143,2.1620324936722417
2011-03-30,0.6051122372260647,2.6051122372260647,3.0381272446561987,3.6871046885852463,1.5280425261853248,2.1590621623999215
2011-03-31,0.6259444590509808,2.625944459050981,2.9874341214980262,3.6985256227080585,1.5628291017178741,2.1356965209901846
2011-04-01,0.642807551530522,2.642807551530522,2.901097047526026,3.676425098922589,1.5875675022138307,2.088857596708758
2011-04-04,0.6113439962443028,2.611343996244303,2.9820622377928387,3.6671626817266767,1.537064449404949,2.1300982323217275
2011-04-05,0.6464548698488422,2.646454869848842,2.9562761506091384,3.719946932724165,1.5921022064038082,2.1278447263203573
2011-04-06,0.6500931422233016,2.6500931422233016,3.035001660773734,3.7831003081526173,1.5931604609769394,2.189939847175678
2011-04-07,0.6173556355742686,2.6173556355742686,3.1624726734245208,3.808003095393595,1.5364447181965102,2.271558377197085
2011-04-08,0.6260897262733565,2.6260897262733565,3.156627880998027,3.8215352379383654,1.549769732417502,2.2717655055208636
2011-04-11,0.6197427411975323,2.6197427411975323,3.182205079961456,3.8236183845773666,1.5390602371353046,2.2845581474420618
2011-04-12,0.5811246556334826,2.5811246556334826,3.1972460767886837,3.753931768765817,1.4820699960874666,2.27186177267835
2011-04-13,0.5779116992645932,2.577911699264593,3.1561449817549665,3.7206878653820494,1.478517549724269,2.2421703156577806
2011-04-14,0.5903349654148915,2.5903349654148915,3.148720101501617,3.7386930191260612,1.4980884025117274,2.240604616614334
2011-04-15,0.569739988592433,2.569739988592433,3.106367331000161,3.6662404058365605,1.4741883656689148,2.1920520401676455
2011-04-18,0.5372174503010907,2.5372174503010907,3.1699265563747154,3.6408837093133104,1.4237287859984198,2.2171549233148906
2011-04-19,0.5406797861550405,2.5406797861550405,3.137879817858426,3.626849115380114,1.4296307114288442,2.1972184039512697
