date,horizon,n_raw,mean_raw,median_raw,sd_raw,iqr_raw,range_raw,full_cross_section_raw,n_binned,mean_binned,median_binned,sd_binned,iqr_binned,range_binned,full_cross_section_binned,dn,dsd,dmean
2012-01-25,2012,17,0.25,0.125,0.2876118708177639,0.0,0.875,True,17,0.25,0.125,0.2876118708177639,0.0,0.875,True,0,0.0,0.0
2012-01-25,2013,17,0.4720588235294118,0.125,0.5652226495803365,0.625,1.775,True,17,0.47794117647058826,0.125,0.5803702135491504,0.625,1.875,True,0,0.015147563968813893,0.00588235294117645
2012-01-25,2014,17,1.0735294117647058,0.75,0.973980258143149,1.875,2.625,True,17,1.0735294117647058,0.75,0.9739802581431489,1.875,2.625,True,0,1.1102230246251565e-16,0.0
2012-01-25,LR,17,4.202941176470588,4.2,0.24038607931414765,0.5,0.7000000000000002,True,17,4.205882352941177,4.25,0.24607647839237518,0.5,0.75,True,0,0.0056903990782275204,0.002941176470588225
2012-04-25,2012,17,0.2647058823529412,0.125,0.3289979017823102,0.0,1.125,True,17,0.2647058823529412,0.125,0.3289979017823102,0.0,1.125,True,0,0.0,0.0
2012-04-25,2013,17,0.5220588235294118,0.125,0.5835289670301911,0.875,1.625,True,17,0.5220588235294118,0.125,0.5835289670301911,0.875,1.625,True,0,0.0,0.0
2012-04-25,2014,17,1.2941176470588236,1.0,0.9691388465056121,1.75,2.625,True,17,1.2941176470588236,1.0,0.9691388465056121,1.75,2.625,True,0,0.0,0.0
2012-04-25,LR,17,4.185294117647059,4.2,0.29394112349762325,0.5,1.0,True,17,4.1911764705882355,4.25,0.30352599177279843,0.5,1.0,True,0,0.009584868275175185,0.00588235294117645
2012-06-20,2012,19,0.19736842105263158,0.125,0.17356455208253838,0.0,0.625,True,19,0.19736842105263158,0.125,0.1735645520825384,0.0,0.625,True,0,2.7755575615628914e-17,0.0
2012-06-20,2013,19,0.4276315789473684,0.125,0.49887338447707563,0.5,1.625,True,19,0.4276315789473684,0.125,0.4988733844770757,0.5,1.625,True,0,5.551115123125783e-17,0.0
2012-06-20,2014,19,1.0657894736842106,0.5,0.960030513711735,1.625,2.875,True,19,1.0657894736842106,0.5,0.960030513711735,1.625,2.875,True,0,0.0,0.0
2012-06-20,LR,19,4.110526315789474,4.2,0.37366567782064686,0.40000000000000036,1.5,True,19,4.105263157894737,4.25,0.3744802492304659,0.375,1.5,True,0,0.0008145714098190537,0.005263157894736636
2012-09-13,2012,19,0.14473684210526316,0.125,0.08373632935103854,0.0,0.375,True,19,0.14473684210526316,0.125,0.08373632935103853,0.0,0.375,True,0,1.3877787807814457e-17,0.0
2012-09-13,2013,19,0.28289473684210525,0.125,0.38653765319916794,0.0,1.625,True,19,0.28289473684210525,0.125,0.38653765319916794,0.0,1.625,True,0,0.0,0.0
2012-09-13,2014,19,0.7171052631578947,0.125,0.9264410052928835,1.375,2.875,True,19,0.7171052631578947,0.125,0.9264410052928835,1.375,2.875,True,0,0.0,0.0
2012-09-13,2015,19,1.7223684210526315,1.0,1.296982701281641,1.75,4.375,True,19,1.7171052631578947,1.0,1.2976713108583895,1.75,4.375,True,0,0.0006886095767484335,0.0052631578947368585
2012-09-13,LR,19,4.071052631578947,4.0,0.37003406296749586,0.2999999999999998,1.5,True,19,4.065789473684211,4.0,0.3702959810386918,0.25,1.5,True,0,0.00026191807119596566,0.005263157894736636
2012-12-12,2012,19,0.125,0.125,0.0,0.0,0.0,True,19,0.125,0.125,0.0,0.0,0.0,True,0,0.0,0.0
2012-12-12,2013,19,0.19078947368421054,0.125,0.20825252357032123,0.0,0.875,True,19,0.19078947368421054,0.125,0.20825252357032123,0.0,0.875,True,0,0.0,0.0
2012-12-12,2014,19,0.5131578947368421,0.125,0.7465873420302399,0.1875,2.625,True,19,0.5131578947368421,0.125,0.7465873420302399,0.1875,2.625,True,0,0.0,0.0
2012-12-12,2015,19,1.4013157894736843,1.0,1.2264753115129112,1.125,4.375,True,19,1.4013157894736843,1.0,1.2264753115129112,1.125,4.375,True,0,0.0,0.0
2012-12-12,LR,19,4.0473684210526315,4.0,0.3632722931944715,0.37500000000000044,1.5,True,19,4.0394736842105265,4.0,0.3651167611976739,0.375,1.5,True,0,0.0018444680032023708,0.007894736842104955
2013-03-20,2013,19,0.17105263157894737,0.125,0.19538476848575653,0.0,0.875,True,19,0.17105263157894737,0.125,0.19538476848575656,0.0,0.875,True,0,2.7755575615628914e-17,0.0
2013-03-20,2014,19,0.4605263157894737,0.125,0.6906954823273996,0.1875,2.625,True,19,0.4605263157894737,0.125,0.6906954823273996,0.1875,2.625,True,0,0.0,0.0
2013-03-20,2015,19,1.2960526315789473,1.0,1.1692401704428759,0.75,4.375,True,19,1.2960526315789473,1.0,1.1692401704428759,0.75,4.375,True,0,0.0,0.0
2013-03-20,LR,19,4.021052631578947,4.0,0.3313909241339267,0.27500000000000036,1.25,True,19,4.0131578947368425,4.0,0.32921042113675797,0.25,1.25,True,0,0.0021805029971687095,0.007894736842104955
2013-06-19,2013,19,0.14473684210526316,0.125,0.08373632935103854,0.0,0.375,True,19,0.14473684210526316,0.125,0.08373632935103853,0.0,0.375,True,0,1.3877787807814457e-17,0.0
2013-06-19,2014,19,0.3355263157894737,0.125,0.4196110189237362,0.0,1.375,True,19,0.3355263157894737,0.125,0.41961101892373615,0.0,1.375,True,0,5.551115123125783e-17,0.0
2013-06-19,2015,19,1.3355263157894737,1.0,0.8331659573370566,0.75,2.875,True,19,1.3355263157894737,1.0,0.8331659573370567,0.75,2.875,True,0,1.1102230246251565e-16,0.0
2013-06-19,LR,19,4.021052631578947,4.0,0.3313909241339267,0.27500000000000036,1.25,True,19,4.0131578947368425,4.0,0.32921042113675797,0.25,1.25,True,0,0.0021805029971687095,0.007894736842104955
2013-09-18,2013,17,0.125,0.125,0.0,0.0,0.0,True,17,0.125,0.125,0.0,0.0,0.0,True,0,0.0,0.0
2013-09-18,2014,17,0.29411764705882354,0.125,0.3686750334329904,0.0,1.125,True,17,0.29411764705882354,0.125,0.3686750334329904,0.0,1.125,True,0,0.0,0.0
2013-09-18,2015,17,1.2352941176470589,1.0,0.9323459825310927,0.75,3.125,True,17,1.2352941176470589,1.0,0.9323459825310926,0.75,3.125,True,0,1.1102230246251565e-16,0.0
