date,y10_pct,dy10_bp,in_window_3chg,in_window_2chg,cum_in_3chg_pct,cum_out_3chg_pct,cum_in_2chg_pct,cum_out_2chg_pct,cum_total_pct
1989-01-04,9.104156719052,0.6103604253999251,False,False,9.098053114798,9.104156719052,9.098053114798,9.104156719052,9.104156719052
1989-01-05,9.158746865586,5.459014653400018,False,False,9.098053114798,9.158746865586,9.098053114798,9.158746865586,9.158746865586
1989-01-06,9.104347538584,-5.439932700200068,False,False,9.098053114798,9.104347538584,9.098053114798,9.104347538584,9.104347538584
1989-01-09,9.100875428993,-0.347210959099975,False,False,9.098053114798,9.100875428993,9.098053114798,9.100875428993,9.100875428993
1989-01-10,9.100632005739,-0.0243423254000063,False,False,9.098053114798,9.100632005739,9.098053114798,9.100632005739,9.100632005739
1989-01-11,9.121540985616,2.0908979877001244,False,False,9.098053114798,9.121540985616,9.098053114798,9.121540985616,9.121540985616
1989-01-12,9.020480051992,-10.10609336240016,False,False,9.098053114798,9.020480051992,9.098053114798,9.020480051992,9.020480051992
1989-01-13,8.936124277227,-8.435577476499923,False,False,9.098053114798,8.936124277227,9.098053114798,8.936124277227,8.936124277227
1989-01-17,8.930162792871,-0.5961484355999858,False,False,9.098053114798,8.930162792871,9.098053114798,8.930162792871,8.930162792871
1989-01-18,8.855152706982,-7.501008588899971,False,False,9.098053114798,8.855152706982,9.098053114798,8.855152706982,8.855152706982
1989-01-19,8.866033358693,1.0880651711000056,False,False,9.098053114798,8.866033358693,9.098053114798,8.866033358693,8.866033358693
1989-01-20,8.882653975683,1.662061699000006,False,False,9.098053114798,8.882653975683,9.098053114798,8.882653975683,8.882653975683
1989-01-23,8.865612504192,-1.7041471490999882,False,False,9.098053114798,8.865612504192,9.098053114798,8.865612504192,8.865612504192
1989-01-24,8.808517630635,-5.709487355700027,False,False,9.098053114798,8.808517630635,9.098053114798,8.808517630635,8.808517630635
1989-01-25,8.836968384503,2.8450753868000334,False,False,9.098053114798,8.836968384503,9.098053114798,8.836968384503,8.836968384503
1989-01-26,8.832453793727,-0.4514590776000915,False,False,9.098053114798,8.832453793727,9.098053114798,8.832453793727,8.832453793727
1989-01-27,8.818099053067,-1.4354740659999976,False,False,9.098053114798,8.818099053067,9.098053114798,8.818099053067,8.818099053067
1989-01-30,8.835446151701,1.7347098633999636,False,False,9.098053114798,8.835446151701,9.098053114798,8.835446151701,8.835446151701
1989-01-31,8.826972458938,-0.8473692762999363,False,False,9.098053114798,8.826972458938,9.098053114798,8.826972458938,8.826972458938
1989-02-01,8.835905668242,0.8933209304000655,False,False,9.098053114798,8.835905668242,9.098053114798,8.835905668242,8.835905668242
