date,lr_mean,lr_med,n,y1_mean,y1_med,n1,pi_lr,rstar,d_lr_mean,d_lr_med,d_y1_mean,d_y1_med,dy1,drn1,dtp1,dy2,drn2,dtp2,dy3,drn3,dtp3,dy5,drn5,dtp5,dy7,drn7,dtp7,dy10,drn10,dtp10
2012-04-25,4.191176470588236,4.25,17,0.6029411764705882,0.25,17,2.0,2.1911764705882355,-0.014705882352940236,0.0,0.044117647058823484,0.0,0.33622425269295986,0.16900676540414217,0.1672174872888177,-0.9557087814972276,-0.7124291976976643,-0.24327958379956327,-1.8115353705503767,-1.128665000327822,-0.6828703702225547,-2.383999250946567,-1.3916624404409217,-0.9923368105056452,-2.2459883876265962,-1.4038433614039114,-0.8421450262226848,-1.7504363259079891,-1.3092243708174855,-0.4412119550905036
2012-06-20,4.105263157894737,4.25,19,0.5131578947368421,0.25,19,2.0,2.105263157894737,-0.08591331269349922,0.0,-0.08978328173374606,0.0,2.139532725394036,3.3216414669211938,-1.1821087415271574,2.296212975020845,3.846504810071166,-1.5502918350503214,2.293223093369395,3.953979562886234,-1.6607564695168386,1.6932403833027632,3.741431097250114,-2.048190713947351,0.8079888188886386,3.416278829960895,-2.608290011072256,-0.39582016140149445,2.969053268527544,-3.3648734299290384
2012-09-13,4.065789473684211,4.0,19,0.3815789473684211,0.25,19,2.0,2.0657894736842106,-0.03947368421052655,-0.25,-0.13157894736842107,0.0,0.3234063108750046,-5.343913070432402,5.667319381307406,0.8776538726405075,-7.110372894170852,7.98802676681136,1.4438041158548742,-7.598644812509548,9.042448928364422,3.926949063044416,-7.25680092021247,11.183749983256885,7.051828478292155,-6.565947803394112,13.617776281686266,11.149356909698938,-5.62722608994255,16.776582999641487
2012-12-12,4.039473684210527,4.0,19,0.3026315789473684,0.25,19,2.0,2.0394736842105265,-0.026315789473683182,0.0,-0.07894736842105265,0.0,-0.09586022243747438,-1.8712296592900135,1.775369436852539,1.2573799230410077,-2.3303281066752057,3.5877080297162136,2.945435464733559,-2.28181132610204,5.227246790835599,5.6745442370030315,-1.9068876596635143,7.581431896666546,7.474204345314628,-1.5648251180722994,9.039029463386928,9.14849566131226,-1.210717445341003,10.359213106653264
2013-03-20,4.0131578947368425,4.0,19,0.5526315789473685,0.25,19,2.0,2.0131578947368425,-0.02631578947368496,0.0,0.25000000000000006,0.0,-0.5831429350239281,-1.1203959224247857,0.5372529874008575,0.7759350640273305,-0.3909407056327391,1.1668757696600696,1.6337832449578316,-0.010030887447703973,1.6438141324055355,2.39844944641332,0.31696140122744465,2.0814880451858753,2.5873428030283474,0.42799910485891157,2.159343698169436,2.560075555334551,0.4668047834474054,2.0932707718871457
2013-06-19,4.0131578947368425,4.0,19,0.4342105263157895,0.25,19,2.0,2.0131578947368425,0.0,0.0,-0.11842105263157898,0.0,-0.9136446334662846,4.890880593512101,-5.804525226978385,6.367692480234028,7.714629899547437,-1.3469374193134098,14.939790628944927,9.61326874477318,5.326521884171748,23.768331244994776,10.932368233218526,12.835963011776252,25.146921591747606,10.9171547862301,14.229766805517507,22.935777112202782,10.187557892175958,12.748219220026824
2013-09-18,3.926470588235294,4.0,17,0.3970588235294117,0.25,17,2.0,1.926470588235294,-0.08668730650154854,0.0,-0.037151702786377805,0.0,-0.5897982381288663,-5.28047202353929,4.690673785410423,-4.876945215630258,-7.742360161435077,2.865414945804823,-9.499487272606844,-9.04681144292809,-0.4526758296787503,-13.423734321658776,-9.651948995973658,-3.7717853256851175,-12.980728469724845,-9.33731665471923,-3.643411815005604,-10.203931103174124,-8.496236942587165,-1.7076941605869589
2013-12-18,3.882352941176471,4.0,17,0.3382352941176471,0.25,17,2.0,1.8823529411764703,-0.04411764705882293,0.0,-0.05882352941176461,0.0,-1.7193142627514035,3.18373742909793,-4.903051691849333,1.3143049491950998,4.329729580153375,-3.0154246309582744,5.909455290721377,5.21510483277208,0.6943504579492998,10.768773316925229,5.8090286521325085,4.959744664792698,11.367657740740711,5.754198061302473,5.6134596794382485,9.812176531228722,5.338238256480676,4.473938274748046
2014-03-19,3.875,4.0,16,1.125,1.0,16,2.0,1.875,-0.007352941176471006,0.0,0.7867647058823529,0.75,0.5321317170441792,4.890788550543645,-4.358656833499467,8.520657270104092,10.727990053963426,-2.207332783859334,14.185723278728746,13.378322856575641,0.8074004221531039,17.341461780431654,14.634109026588348,2.707352753843306,15.243441013135417,14.19099409198228,1.0524469211531384,10.219130985409741,12.894198563727489,-2.675067578317747
2014-06-18,3.78125,3.75,16,1.203125,1.125,16,2.0,1.78125,-0.09375,-0.25,0.078125,0.125,0.46469544638626237,-2.5917035057160254,3.056398952102288,-2.5682952714926213,-5.192670466701155,2.6243751952085335,-4.816102739356365,-6.345447207862653,1.5293444685062885,-5.774113970204375,-6.818889578238729,1.044775608034354,-4.425919126022038,-6.550277368883672,2.1243582428616348,-1.6881144442864038,-5.904148381744356,4.2160339374579525
