date,one_sided,two_sided
1961-01-01,5.10718053734692,4.43379114418956
1961-04-01,5.32008441771076,4.41883657500169
1961-07-01,5.29765130230315,4.39998280934708
1961-10-01,5.29536915157876,4.37838842871924
1962-01-01,5.15715457508497,4.35729079566926
1962-04-01,4.66474687605897,4.34598508760148
1962-07-01,4.55107929847198,4.33884312688172
1962-10-01,4.10729222098255,4.34555982176804
1963-01-01,4.09273400968574,4.35386672615206
1963-04-01,4.05793050758883,4.36334291893567
1963-07-01,4.36824144226577,4.36328450725665
1963-10-01,4.10882187386552,4.37261119269803
1964-01-01,4.39648343708503,4.37120422887899
1964-04-01,4.31298484868548,4.37366022633973
1964-07-01,4.40927446722175,4.3732504525437
1964-10-01,4.1635182494424,4.38250773277929
1965-01-01,4.52772810770551,4.37379010321822
1965-04-01,4.49703777025891,4.36375989172893
1965-07-01,4.73598497031552,4.33813046353426
1965-10-01,4.94240544376644,4.29793721257232
1966-01-01,5.16594160308318,4.2449816105234
1966-04-01,4.92323160443261,4.20342305367612
1966-07-01,4.90911214290464,4.16096978787402
1966-10-01,4.89213802068236,4.11761880934848
1967-01-01,4.85322772341832,4.07351817357508
1967-04-01,4.66271610888547,4.03789094559044
1967-07-01,4.70925435365632,3.99861084635569
1967-10-01,4.66581246489966,3.95872394324918
1968-01-01,4.89831253189853,3.9034473620904
1968-04-01,4.98648524849192,3.84145594366744
1968-07-01,4.89373143076696,3.78248565306191
1968-10-01,4.77768554215606,3.7266138584646
1969-01-01,4.91031011534419,3.66060964576433
1969-04-01,4.74358305396967,3.60267465548008
1969-07-01,4.69636461084971,3.54670308690631
1969-10-01,4.41605977793936,3.50528698997254
1970-01-01,4.26899163118793,3.47044401707367
1970-04-01,4.18899287220471,3.43871291000246
1970-07-01,4.22960829312592,3.40482146952409
1970-10-01,3.86076038940793,3.39158358060473
1971-01-01,4.27823527118316,3.35392093228741
1971-04-01,4.04972311418003,3.32903281344245
1971-07-01,3.90025452686883,3.31041625092156
1971-10-01,3.59650333694384,3.30108634872679
1972-01-01,3.75939420378142,3.27828908280637
1972-04-01,3.87573761049352,3.2429458412135
1972-07-01,3.74546963563107,3.21087584449144
1972-10-01,3.80894386313663,3.16765473733842
1973-01-01,4.04035417514189,3.10646236743642
1973-04-01,4.07363577666574,3.04672921615415
1973-07-01,3.78890855411937,3.00177819369158
1973-10-01,3.91588107316055,2.94975743121914
1974-01-01,3.68807520941412,2.91361719710044
1974-04-01,3.80268950396452,2.87908078538405
1974-07-01,3.63506939855924,2.86394948821143
1974-10-01,3.46257133240033,2.86144508278001
1975-01-01,2.97869033223165,2.88196091774232
1975-04-01,2.8624643521925,2.90064084203561
1975-07-01,2.97642161914198,2.91136492867842
1975-10-01,3.00775923921779,2.92052628804359
1976-01-01,3.17742176761854,2.91933469202104
1976-04-01,2.90099770638767,2.92904065963884
1976-07-01,2.82871598910617,2.94707209567823
1976-10-01,2.79938834579348,2.96871611642483
1977-01-01,2.85968764659629,2.98793875838545
1977-04-01,2.9834257859812,2.99793025119446
1977-07-01,3.11156137722155,3.00465737205636
1977-10-01,2.79991131773714,3.02733564929512
1978-01-01,2.70658761884595,3.0509478736788
1978-04-01,3.39753064183514,3.03615960188942
1978-07-01,3.31438837372638,3.02578489830795
1978-10-01,3.42668913787681,3.01087786261008
1979-01-01,3.12429005178225,3.00376941911926
1979-04-01,3.28010850822134,2.99927804789084
1979-07-01,3.31977656251321,2.98995068088188
1979-10-01,3.28907151104362,2.98439037325139
1980-01-01,3.4180800006885,2.98197935294328
1980-04-01,2.93347359403477,3.00680941089441
1980-07-01,2.98338695294143,3.02663990692488
1980-10-01,3.42342217075838,3.02501492276634
1981-01-01,3.65031414273843,3.00983043182122
1981-04-01,3.26627845926795,3.00922766291332
1981-07-01,3.52730113035278,2.99408200460667
1981-10-01,3.22443866351181,2.99573614990673
1982-01-01,2.80485667117544,3.01507006020882
1982-04-01,2.87379503741452,3.02946671635222
1982-07-01,2.84938578170501,3.0536253869834
1982-10-01,2.75571848709157,3.08208556050103
1983-01-01,2.86549620312768,3.10301705000168
1983-04-01,2.88425261595587,3.11092013803534
1983-07-01,3.22544635821657,3.11160241533252
1983-10-01,3.15362824933948,3.10359257784051
1984-01-01,3.29221286391938,3.08848871838008
1984-04-01,3.43996899087178,3.06830789110605
1984-07-01,3.33634593761961,3.05055170297038
1984-10-01,3.23354280441403,3.03317353469006
1985-01-01,3.55306724339184,3.01255720426688
1985-04-01,3.42677067524671,2.9907339530585
1985-07-01,3.59286087592094,2.96190981271537
1985-10-01,3.36542306610447,2.9368896952869
1986-01-01,3.42760781176862,2.91144256610795
1986-04-01,3.20737919255789,2.89069752109675
1986-07-01,3.2189972005152,2.86836033740727
1986-10-01,3.18160413285535,2.85049814659602
1987-01-01,3.03110298286695,2.8334332079933
1987-04-01,3.14988202739919,2.81343097046453
1987-07-01,3.13232438451047,2.79270340903766
1987-10-01,3.33822855685371,2.76207976210202
1988-01-01,3.19977075860691,2.73707423680629
1988-04-01,3.40383500307785,2.70612715353503
1988-07-01,3.3693783394408,2.67827923942863
1988-10-01,3.4636277705616,2.64269702228854
1989-01-01,3.49266691281274,2.60402775210948
1989-04-01,3.38824301407589,2.5635375394842
1989-07-01,3.30370684718004,2.5201233477491
1989-10-01,3.26263588214136,2.47854596599515
1990-01-01,3.49736215928576,2.42823045801237
1990-04-01,3.45735287872503,2.38223858472328
1990-07-01,3.33883276368561,2.34522876403103
1990-10-01,2.88544572714281,2.32749455912136
1991-01-01,2.64609461320352,2.3192212425709
1991-04-01,2.72736401085298,2.30743389469012
1991-07-01,2.75777018569909,2.30029328926098
1991-10-01,2.62232575287482,2.29916648694603
1992-01-01,2.67067294113981,2.29432145141837
1992-04-01,2.6612361907959,2.29040800903482
1992-07-01,2.53045296817413,2.28953207684565
1992-10-01,2.5575244941303,2.29231052203525
1993-01-01,2.38529800008614,2.3089530341167
1993-04-01,2.35594100792358,2.33188391727184
1993-07-01,2.18826850330257,2.36161898819785
1993-10-01,2.2489203651499,2.3876658147974
1994-01-01,2.18706311638887,2.41628351061251
1994-04-01,2.3523175238869,2.44253300093499
1994-07-01,2.21968561538967,2.47491319950934
1994-10-01,2.25136130577733,2.50497243366619
1995-01-01,2.16756872930276,2.54226798604212
1995-04-01,2.11877193454695,2.58371067212526
1995-07-01,2.16168169526581,2.62174011278183
1995-10-01,2.22197884307796,2.65943921095841
1996-01-01,2.2232849205279,2.694716469823
1996-04-01,2.47225464340627,2.71800388231335
1996-07-01,2.48959392604382,2.7411313888235602
1996-10-01,2.63014316711772,2.76109695610682
1997-01-01,2.54419378291579,2.78123819198559
1997-04-01,2.83143663905305,2.78879263246271
1997-07-01,2.80006372576364,2.79166309229769
1997-10-01,2.81137950200328,2.79323997889083
1998-01-01,2.87634228039736,2.78993486265378
1998-04-01,2.95633366910801,2.78186458672262
1998-07-01,3.15123048043325,2.76412536846111
1998-10-01,3.33419230888257,2.73431473227228
1999-01-01,3.30891658552874,2.70192199328185
1999-04-01,3.35586249643863,2.6660475941504
1999-07-01,3.44181891274382,2.61989025343485
1999-10-01,3.63684569295172,2.56211590199238
2000-01-01,3.53684647990028,2.50692374542894
2000-04-01,3.65801144548668,2.43581734351994
2000-07-01,3.523959271208,2.37166257559995
2000-10-01,3.53580671243111,2.30530183853146
2001-01-01,3.41505595799376,2.24730356700797
2001-04-01,3.39314704546686,2.18611016286592
2001-07-01,3.08681849576457,2.13692737194462
2001-10-01,3.11766927610707,2.08982699371179
2002-01-01,3.07888455805888,2.04122526623289
2002-04-01,3.09985612264836,1.99710588359868
2002-07-01,2.96558351277654,1.96040564631435
2002-10-01,2.70310266022434,1.93319670538833
2003-01-01,2.5619962811691,1.90892045130757
2003-04-01,2.53551661371287,1.8830056716761
2003-07-01,2.7476108751166,1.84777600082054
2003-10-01,2.75686541685076,1.81214101665673
2004-01-01,2.67382173391579,1.78175042909111
2004-04-01,2.64195729247693,1.75158752921194
2004-07-01,2.51859646225578,1.71931597162095
2004-10-01,2.57342372791436,1.68391048429932
2005-01-01,2.68812381017599,1.64434909047152
2005-04-01,2.52374480340456,1.60689730421698
2005-07-01,2.4531062425806,1.56563300968254
2005-10-01,2.49587426973961,1.52173406179487
2006-01-01,2.65047815994529,1.46587275690246
2006-04-01,2.68845007396314,1.41218815966506
2006-07-01,2.50108804737208,1.35785682927149
2006-10-01,2.50401582447959,1.29385575488459
2007-01-01,2.56760272818915,1.22781874746165
2007-04-01,2.45691177042651,1.15484911702993
2007-07-01,2.47371122876215,1.07613740216981
2007-10-01,2.58676522012458,0.992617796817555
2008-01-01,2.24444166737872,0.916927035552854
2008-04-01,2.13345962171093,0.837914461064471
2008-07-01,1.84560332351696,0.775946900124774
2008-10-01,0.958693970362018,0.748656236796006
2009-01-01,0.745864167354319,0.737408615746329
2009-04-01,0.907581193148228,0.732281162709034
2009-07-01,0.878586871419672,0.729133058397878
2009-10-01,1.13658856988069,0.721797433246154
2010-01-01,0.948840478870831,0.719189769762687
2010-04-01,0.921779749279497,0.714594936752819
2010-07-01,0.820180361116788,0.71176905172856
2010-10-01,0.795839705147008,0.714000101745003
2011-01-01,0.630586752549471,0.728174988285852
