date,fomc,hlw_onesided_current,hlw_realtime,market
2012-01-25,2.2,0.89069223311489,0.08613592190038322,
2012-04-25,2.2,0.754879437553642,0.26564575467061413,
2012-06-20,2.2,0.600864345454575,0.04451638136019165,
2012-09-13,2.0,0.585359117104803,-0.1032944217977203,
2012-12-12,2.0,0.673430969878917,-0.37465611731373505,2.0
2013-03-20,2.0,0.555328276896263,-0.34076851747554215,2.0
2013-06-19,2.0,0.718380115955887,-0.4018051999471477,2.0
2013-09-18,2.0,0.815857157226906,-0.13060447935589758,2.0
2013-12-18,2.0,0.54050790392805,-0.1775045701146989,
2014-03-19,2.0,0.815663547980095,-0.3548267862718495,
2014-06-18,1.75,0.928874580037251,-0.07291135825124506,
2014-09-17,1.75,0.837332192825739,-0.0729400967192757,1.5
2014-12-17,1.75,0.875053853269972,-0.16526798876151272,1.5
2015-03-18,1.75,1.07611362118359,-0.388564984999352,1.5
2015-06-17,1.75,1.04189230719368,0.00632032573200636,1.38
2015-09-17,1.5,0.973804654840668,-0.09207608179348359,1.25
2015-12-16,1.5,1.14956064724994,-0.09678719127883051,1.25
2016-03-16,1.25,1.24997686801736,0.18654676050525776,1.25
2016-06-15,1.0,1.27690150874493,0.182334214,1.13
2016-09-21,0.875,1.23056455595021,0.2160056450722183,1.0
2016-12-14,1.0,1.26724881413272,0.0267343806485725,0.75
2017-03-15,1.0,1.18354479298023,0.0556277620413774,1.0
2017-06-14,1.0,1.22095104002439,-0.215630209486642,0.8799999999999999
2017-09-20,0.75,1.41675849174567,-0.0862854353029525,0.75
2017-12-13,0.75,1.56046237417287,0.0494037908063807,0.75
2018-03-21,0.875,1.54965483493942,0.136724705512429,0.75
2018-06-13,0.875,1.48123741016596,0.865271834393232,0.75
2018-09-26,1.0,1.4533589433382,0.821104300302434,0.75
2018-12-19,0.75,1.49509602203618,0.811193694624772,0.75
2019-03-20,0.75,1.62171486263379,0.649339342654668,0.75
2019-06-19,0.5,1.730647437018,0.82748033431308,0.5
2019-09-18,0.5,1.73766734221144,0.939022951930769,0.5
2019-12-11,0.5,1.71867154160183,0.802037084413068,0.5
2020-06-10,0.5,1.74559241182822,0.360822885228993,0.25
2020-09-16,0.5,1.729463286916,0.360822885228993,0.25
2020-12-16,0.5,1.86924859433437,0.360822885228993,0.25
2021-03-17,0.5,1.99680097243167,,0.31
2021-06-16,0.5,1.98339987203393,,0.31
2021-09-22,0.5,2.26079181172466,,0.25
2021-12-15,0.5,1.98172960239087,,0.25
2022-03-16,0.375,1.64582574554405,,
2022-06-15,0.5,1.78899587758097,,0.3799999999999999
2022-09-21,0.5,1.72219980226662,,0.3799999999999999
2022-12-14,0.5,1.70933569026383,1.163871434,
2023-03-22,0.5,1.61682132931565,1.13992399554241,
2023-06-14,0.5,1.48234717057491,1.13794770918394,0.5
2023-09-20,0.5,1.36201843391093,1.18796628923808,0.56
2023-12-13,0.5,1.43942671261588,1.11955756450715,0.75
2024-03-20,0.5625,1.44683102677746,1.17971758112651,0.75
2024-06-12,0.75,1.39948329614524,1.21598334965647,1.0
2024-09-18,0.875,1.37681289447446,1.25794933362274,0.8799999999999999
2024-12-18,1.0,1.35735830653604,1.30926109721745,1.1300000000000003
2025-03-19,1.0,1.44926239666612,1.37028901730508,1.1300000000000003
2025-06-18,1.0,1.62531202506298,1.37300053284102,1.1300000000000003
2025-09-17,1.0,1.47129195165286,1.56268297358591,1.1300000000000003
2025-12-10,1.0,1.69594456380735,1.45698119650938,1.1300000000000003
2026-03-18,1.125,,1.69594456380735,1.1300000000000003
