date,fomc,one_sided,two_sided,market
2012-01-25,2.2,0.89069223311489,0.790961167741812,
2012-04-25,2.2,0.754879437553642,0.810044482959665,
2012-06-20,2.2,0.600864345454575,0.836309262517338,
2012-09-13,2.0,0.585359117104803,0.867639752404447,
2012-12-12,2.0,0.673430969878917,0.894104363494663,2.0
2013-03-20,2.0,0.555328276896263,0.925801883260301,2.0
2013-06-19,2.0,0.718380115955887,0.954337288047331,2.0
2013-09-18,2.0,0.815857157226906,0.982130735961321,2.0
2013-12-18,2.0,0.54050790392805,1.02170900764748,
2014-03-19,2.0,0.815663547980095,1.05008173123844,
2014-06-18,1.75,0.928874580037251,1.07286054534118,
2014-09-17,1.75,0.837332192825739,1.09859901631922,1.5
2014-12-17,1.75,0.875053853269972,1.12114903938561,1.5
2015-03-18,1.75,1.07611362118359,1.14474569061656,1.5
2015-06-17,1.75,1.04189230719368,1.17159296456797,1.38
2015-09-17,1.5,0.973804654840668,1.20304818182329,1.25
2015-12-16,1.5,1.14956064724994,1.23383785836284,1.25
2016-03-16,1.25,1.24997686801736,1.26733978920033,1.25
2016-06-15,1.0,1.27690150874493,1.29857983908178,1.13
2016-09-21,0.875,1.23056455595021,1.33057736335253,1.0
2016-12-14,1.0,1.26724881413272,1.36369738916439,0.75
2017-03-15,1.0,1.18354479298023,1.3962587527321,1.0
2017-06-14,1.0,1.22095104002439,1.42492063292381,0.8799999999999999
2017-09-20,0.75,1.41675849174567,1.44649698516559,0.75
2017-12-13,0.75,1.56046237417287,1.46601338295638,0.75
2018-03-21,0.875,1.54965483493942,1.48594020991284,0.75
2018-06-13,0.875,1.48123741016596,1.50450813667059,0.75
2018-09-26,1.0,1.4533589433382,1.52643359671967,0.75
2018-12-19,0.75,1.49509602203618,1.54397636580157,0.75
2019-03-20,0.75,1.62171486263379,1.55513741328186,0.75
2019-06-19,0.5,1.730647437018,1.55765209402732,0.5
2019-09-18,0.5,1.73766734221144,1.55945883444411,0.5
2019-12-11,0.5,1.71867154160183,1.56470282506386,0.5
2020-06-10,0.5,1.74559241182822,1.57475494190074,0.25
2020-09-16,0.5,1.729463286916,1.57888670396771,0.25
2020-12-16,0.5,1.86924859433437,1.57928161841861,0.25
2021-03-17,0.5,1.99680097243167,1.57964152284071,0.31
2021-06-16,0.5,1.98339987203393,1.58020187954185,0.31
2021-09-22,0.5,2.26079181172466,1.57044050810895,0.25
2021-12-15,0.5,1.98172960239087,1.57731915201196,0.25
2022-03-16,0.375,1.64582574554405,1.59508500951852,
2022-06-15,0.5,1.78899587758097,1.6080278819955,0.3799999999999999
2022-09-21,0.5,1.72219980226662,1.6238459537497,0.3799999999999999
2022-12-14,0.5,1.70933569026383,1.6405578066295,
2023-03-22,0.5,1.61682132931565,1.6575767661667,
2023-06-14,0.5,1.48234717057491,1.66777099152716,0.5
2023-09-20,0.5,1.36201843391093,1.67583396306832,0.56
2023-12-13,0.5,1.43942671261588,1.68672012379691,0.75
2024-03-20,0.5625,1.44683102677746,1.69112007647831,0.75
2024-06-12,0.75,1.39948329614524,1.69288052554334,1.0
2024-09-18,0.875,1.37681289447446,1.69683132346325,0.8799999999999999
2024-12-18,1.0,1.35735830653604,1.70484072503622,1.1300000000000003
2025-03-19,1.0,1.44926239666612,1.7036522598143,1.1300000000000003
2025-06-18,1.0,1.62531202506298,1.69659048812749,1.1300000000000003
2025-09-17,1.0,1.47129195165286,1.69594456380735,1.1300000000000003
2025-12-10,1.0,1.69594456380735,1.69594456380735,1.1300000000000003
2026-03-18,1.125,,,1.1300000000000003
