date,n,mean,median,sd,min,max,range
2012-01-25,17,2.2029411764705884,2.2,0.24038607931414765,1.7999999999999998,2.5,0.7000000000000002
2012-04-25,17,2.1852941176470586,2.2,0.29394112349762325,1.5,2.5,1.0
2012-06-20,19,2.110526315789474,2.2,0.37366567782064686,1.0,2.5,1.5
2012-09-13,19,2.0710526315789473,2.0,0.37003406296749586,1.0,2.5,1.5
2012-12-12,19,2.0473684210526315,2.0,0.3632722931944715,1.0,2.5,1.5
2013-03-20,19,2.0210526315789474,2.0,0.3313909241339267,1.25,2.5,1.25
2013-06-19,19,2.0210526315789474,2.0,0.3313909241339267,1.25,2.5,1.25
2013-09-18,17,1.9411764705882353,2.0,0.2761261935066726,1.25,2.3,1.0499999999999998
2013-12-18,17,1.8941176470588237,2.0,0.25139747819244823,1.5,2.3,0.7999999999999998
2014-03-19,16,1.884375,2.0,0.25903592294313155,1.5,2.3,0.7999999999999998
2014-06-18,16,1.778125,1.75,0.2651466280664342,1.25,2.3,1.0499999999999998
2014-09-17,17,1.798529411764706,1.75,0.2629681523206719,1.25,2.3,1.0499999999999998
2014-12-17,17,1.7794117647058822,1.75,0.25556098819092304,1.25,2.25,1.0
2015-03-18,17,1.661764705882353,1.75,0.2703643575125035,1.0,2.25,1.25
2015-06-17,17,1.6470588235294117,1.75,0.2719594413074548,1.25,2.25,1.0
2015-09-17,17,1.463235294117647,1.5,0.24913344626613845,1.0,2.0,1.0
2015-12-16,17,1.411764705882353,1.5,0.2564058202082749,1.0,2.0,1.0
2016-03-16,17,1.3088235294117647,1.25,0.291161615782696,1.0,2.0,1.0
2016-06-15,16,1.140625,1.0,0.30578727798095195,0.75,1.75,1.0
2016-09-21,16,0.90625,0.875,0.32923917977664807,0.5,1.75,1.25
2016-12-14,16,0.953125,1.0,0.2960514893983815,0.5,1.75,1.25
2017-03-15,16,0.96875,1.0,0.2914805954090255,0.5,1.75,1.25
2017-06-14,15,0.9166666666666666,1.0,0.2173067468400883,0.5,1.5,1.0
2017-09-20,15,0.7833333333333333,0.75,0.3009245014211298,0.25,1.5,1.25
2017-12-13,15,0.7833333333333333,0.75,0.22110831935702666,0.25,1.0,0.75
2018-03-21,14,0.8660714285714286,0.875,0.3005362978519078,0.25,1.5,1.25
2018-06-13,14,0.8660714285714286,0.875,0.3005362978519078,0.25,1.5,1.25
2018-09-26,15,0.8833333333333333,1.0,0.2718251071716682,0.5,1.5,1.0
2018-12-19,16,0.84375,0.75,0.27775607554111215,0.5,1.5,1.0
2019-03-20,16,0.796875,0.75,0.2960514893983815,0.5,1.5,1.0
2019-06-19,16,0.6953125,0.5,0.2758819309845246,0.375,1.25,0.875
2019-09-18,16,0.5703125,0.5,0.2793992928476198,0.0,1.25,1.25
2019-12-11,16,0.5390625,0.5,0.2854504047882048,0.0,1.25,1.25
2020-06-10,16,0.4953125,0.5,0.24909504178877184,0.0,1.0,1.0
2020-09-16,16,0.4953125,0.5,0.24909504178877184,0.0,1.0,1.0
2020-12-16,16,0.4953125,0.5,0.24909504178877184,0.0,1.0,1.0
