date,horizon,n,mean,median,sd,iqr,range,full_cross_section
2015-06-17,LR,17,3.6470588235294117,3.75,0.2719594413074548,0.25,1.0,True
2015-09-17,2015,16,0.4375,0.375,0.2072890493972125,0.25,0.75,True
2015-09-17,2016,16,1.578125,1.5,0.5535309244974485,0.8125,2.0,True
2015-09-17,2017,17,2.639705882352941,2.625,0.7017341347317736,1.0,2.875,True
2015-09-17,2018,17,3.338235294117647,3.375,0.31143850859628486,0.5,1.0,True
2015-09-17,LR,17,3.463235294117647,3.5,0.24913344626613848,0.375,1.0,True
2015-12-16,2015,17,0.34558823529411764,0.375,0.08054743492723031,0.0,0.25,True
2015-12-16,2016,17,1.286764705882353,1.375,0.32016972142760647,0.25,1.25,True
2015-12-16,2017,17,2.411764705882353,2.375,0.48462520744953175,0.75,1.5,True
2015-12-16,2018,17,3.161764705882353,3.25,0.43251297558390417,0.625,1.75,True
2015-12-16,LR,17,3.411764705882353,3.5,0.2564058202082749,0.25,1.0,True
2016-03-16,2016,17,1.0220588235294117,0.875,0.22782254977690686,0.25,0.75,True
2016-03-16,2017,17,2.0441176470588234,1.875,0.34551000366090384,0.5,1.125,True
2016-03-16,2018,17,2.948529411764706,3.0,0.4310103202868483,0.625,1.75,True
2016-03-16,LR,17,3.3088235294117645,3.25,0.291161615782696,0.5,1.0,True
2016-06-15,2016,17,0.8308823529411765,0.875,0.1962009421195049,0.25,0.75,True
2016-06-15,2017,17,1.6323529411764706,1.625,0.40327380002359087,0.5,1.75,True
2016-06-15,2018,17,2.463235294117647,2.375,0.6014148543140744,0.75,2.75,True
2016-06-15,LR,16,3.140625,3.0,0.30578727798095195,0.25,1.0,True
2016-09-21,2016,17,0.6544117647058824,0.625,0.1894720400988989,0.0,0.75,True
2016-09-21,2017,17,1.3088235294117647,1.125,0.424692031711578,0.5,1.5,True
2016-09-21,2018,17,2.110294117647059,1.875,0.5954520541478779,0.75,2.5,True
2016-09-21,2019,17,2.6470588235294117,2.625,0.639156288591198,0.625,3.125,True
2016-09-21,LR,16,2.90625,2.875,0.32923917977664807,0.25,1.25,True
2016-12-14,2016,17,0.625,0.625,0.0,0.0,0.0,True
2016-12-14,2017,17,1.3676470588235294,1.375,0.31056929532268934,0.5,1.25,True
2016-12-14,2018,17,2.2279411764705883,2.125,0.60213360551686,0.75,2.5,True
2016-12-14,2019,17,2.801470588235294,2.875,0.6488944550855944,0.5,3.0,True
2016-12-14,LR,16,2.953125,3.0,0.2960514893983815,0.25,1.25,True
2017-03-15,2017,17,1.4044117647058822,1.375,0.2828732950245786,0.25,1.25,True
2017-03-15,2018,17,2.3161764705882355,2.125,0.5864863706649784,0.5,2.5,True
2017-03-15,2019,17,2.889705882352941,3.0,0.6472259142548643,0.5,3.0,True
2017-03-15,LR,16,2.96875,3.0,0.2914805954090255,0.25,1.25,True
2017-06-14,2017,16,1.375,1.375,0.1767766952966369,0.125,0.5,True
2017-06-14,2018,16,2.2265625,2.125,0.46607308557108296,0.5625,2.0,True
2017-06-14,2019,16,2.8515625,2.9375,0.6079209414831422,0.5,3.0,True
2017-06-14,LR,15,2.9166666666666665,3.0,0.21730674684008833,0.25,1.0,True
2017-09-20,2017,16,1.328125,1.375,0.1316585902058806,0.0625,0.5,True
2017-09-20,2018,16,2.0390625,2.125,0.42093355603200605,0.5,1.5,True
2017-09-20,2019,16,2.6328125,2.6875,0.6018668061487941,0.75,2.25,True
2017-09-20,2020,16,2.8515625,2.875,0.625341703465993,0.625,2.75,True
2017-09-20,LR,15,2.783333333333333,2.75,0.3009245014211298,0.5,1.25,True
2017-12-13,2017,16,1.34375,1.375,0.08267972847076846,0.0,0.25,True
2017-12-13,2018,16,2.015625,2.125,0.3746743377588062,0.3125,1.5,True
2017-12-13,2019,16,2.6953125,2.6875,0.569348500343814,0.375,2.25,True
2017-12-13,2020,16,3.015625,3.0625,0.6216708207524301,0.3125,2.75,True
2017-12-13,LR,15,2.783333333333333,2.75,0.22110831935702666,0.25,0.75,True
2018-03-21,2018,15,2.191666666666667,2.125,0.26562295750848713,0.25,1.0,True
2018-03-21,2019,15,2.9166666666666665,2.875,0.5197488709837559,0.4375,2.25,True
2018-03-21,2020,15,3.325,3.375,0.6919176251549024,0.375,3.25,True
2018-03-21,LR,14,2.8660714285714284,2.875,0.3005362978519077,0.25,1.25,True
2018-06-13,2018,15,2.2416666666666667,2.375,0.20138409955990955,0.25,0.75,True
2018-06-13,2019,15,2.9583333333333335,3.125,0.45338235029118146,0.375,1.75,True
2018-06-13,2020,15,3.308333333333333,3.375,0.5606296063851387,0.4375,2.25,True
2018-06-13,LR,14,2.8660714285714284,2.875,0.3005362978519077,0.25,1.25,True
2018-09-26,2018,16,2.3125,2.375,0.10825317547305482,0.0625,0.25,True
2018-09-26,2019,16,3.015625,3.125,0.38495890608609123,0.5,1.5,True
2018-09-26,2020,16,3.28125,3.375,0.4408354993645589,0.5,1.75,True
2018-09-26,2021,16,3.234375,3.375,0.4818482482846648,0.65625,2.0,True
2018-09-26,LR,15,2.8833333333333333,3.0,0.2718251071716682,0.25,1.0,True
2018-12-19,2018,17,2.3455882352941178,2.375,0.08054743492723031,0.0,0.25,True
2018-12-19,2019,17,2.8455882352941178,2.875,0.25556098819092304,0.5,0.75,True
2018-12-19,2020,17,3.0661764705882355,3.125,0.32685457016018926,0.5,1.25,True
2018-12-19,2021,17,3.0073529411764706,3.125,0.3334054131986657,0.25,1.25,True
2018-12-19,LR,16,2.84375,2.75,0.27775607554111215,0.3125,1.0,True
2019-03-20,2019,17,2.4926470588235294,2.375,0.17400234656175342,0.25,0.5,True
2019-03-20,2020,17,2.6691176470588234,2.625,0.3119588740528886,0.5,1.0,True
2019-03-20,2021,17,2.7426470588235294,2.625,0.3547746494651417,0.5,1.25,True
2019-03-20,LR,16,2.796875,2.75,0.2960514893983815,0.5,1.0,True
2019-06-19,2019,17,2.1691176470588234,2.375,0.26058889921572576,0.5,0.75,True
2019-06-19,2020,17,2.213235294117647,2.125,0.35294117647058826,0.5,1.25,True
2019-06-19,2021,17,2.3161764705882355,2.375,0.36911471758856274,0.75,1.25,True
2019-06-19,LR,16,2.6953125,2.5,0.2758819309845246,0.3125,0.875,True
2019-09-18,2019,17,1.8455882352941178,1.875,0.20797258270192576,0.5,0.5,True
2019-09-18,2020,17,1.875,1.875,0.2572478777137633,0.5,0.75,True
2019-09-18,2021,17,2.0661764705882355,2.125,0.3154060380812826,0.5,1.0,True
2019-09-18,2022,17,2.2720588235294117,2.375,0.3436271013396448,0.25,1.25,True
2019-09-18,LR,16,2.5703125,2.5,0.2793992928476198,0.25,1.25,True
2019-12-11,2019,17,1.625,1.625,0.0,0.0,0.0,True
2019-12-11,2020,17,1.6838235294117647,1.625,0.10604562574894086,0.0,0.25,True
2019-12-11,2021,17,1.963235294117647,1.875,0.2703643575125035,0.5,0.75,True
2019-12-11,2022,17,2.2279411764705883,2.125,0.36439740274599614,0.5,1.25,True
2019-12-11,LR,16,2.5390625,2.5,0.2854504047882048,0.09375,1.25,True
2020-06-10,2020,17,0.125,0.125,0.0,0.0,0.0,True
2020-06-10,2021,17,0.125,0.125,0.0,0.0,0.0,True
2020-06-10,2022,17,0.19852941176470587,0.125,0.23894230601870473,0.0,1.0,True
2020-06-10,LR,16,2.4921875,2.5,0.25182439783259686,0.15625,1.0,True
2020-09-16,2020,17,0.125,0.125,0.0,0.0,0.0,True
2020-09-16,2021,17,0.125,0.125,0.0,0.0,0.0,True
2020-09-16,2022,17,0.15441176470588236,0.125,0.11764705882352942,0.0,0.5,True
2020-09-16,2023,17,0.25735294117647056,0.125,0.31056929532268934,0.0,1.25,True
2020-09-16,LR,16,2.4921875,2.5,0.25182439783259686,0.15625,1.0,True
2020-12-16,2020,17,0.125,0.125,0.0,0.0,0.0,True
2020-12-16,2021,17,0.125,0.125,0.0,0.0,0.0,True
2020-12-16,2022,17,0.13970588235294118,0.125,0.05882352941176471,0.0,0.25,True
2020-12-16,2023,17,0.25735294117647056,0.125,0.25892377737733835,0.25,1.0,True
2020-12-16,LR,16,2.4921875,2.5,0.25182439783259686,0.15625,1.0,True
2021-03-17,2021,18,0.125,0.125,0.0,0.0,0.0,True
2021-03-17,2022,18,0.19444444444444445,0.125,0.13958160584890125,0.0,0.5,True
2021-03-17,2023,18,0.4027777777777778,0.125,0.3808697000222802,0.6875,1.0,True
2021-03-17,LR,17,2.4779411764705883,2.5,0.25086356042988206,0.25,1.0,True
2021-06-16,2021,18,0.125,0.125,0.0,0.0,0.0,True
2021-06-16,2022,18,0.25,0.125,0.1717960677340692,0.25,0.5,True
2021-06-16,2023,18,0.6944444444444444,0.625,0.48452120951423355,0.875,1.5,True
2021-06-16,LR,17,2.4779411764705883,2.5,0.25086356042988206,0.25,1.0,True
2021-09-22,2021,18,0.125,0.125,0.0,0.0,0.0,True
2021-09-22,2022,18,0.2916666666666667,0.25,0.18633899812498247,0.25,0.5,True
2021-09-22,2023,18,0.8888888888888888,1.0,0.4600137544910887,0.6875,1.5,True
2021-09-22,2024,18,1.6388888888888888,1.75,0.603647605891687,1.0,2.0,True
2021-09-22,LR,17,2.463235294117647,2.5,0.24164230478169094,0.25,1.0,True
2021-12-15,2021,18,0.125,0.125,0.0,0.0,0.0,True
2021-12-15,2022,18,0.8055555555555556,0.875,0.18267981163841535,0.25,0.75,True
2021-12-15,2023,18,1.6527777777777777,1.625,0.32155102507750627,0.5,1.0,True
2021-12-15,2024,18,2.3125,2.125,0.41300474169997936,0.8125,1.25,True
2021-12-15,LR,17,2.463235294117647,2.5,0.24164230478169094,0.25,1.0,True
2022-03-16,2022,16,2.046875,1.875,0.4304680410611222,0.5625,1.75,True
2022-03-16,2023,16,2.8125,2.75,0.44633927678392815,0.75,1.5,True
