date,status,url,horizons,n_lr
2012-12-12,ok,https://www.federalreserve.gov/monetarypolicy/fomcprojtabl20121217.htm,5,19
2022-03-16,ok,https://www.federalreserve.gov/monetarypolicy/fomcprojtable20220316.htm,4,15
